responseId,pre_pctg,post_pctg,Pre_TPEself,Pre_TPEother,Post_TPEself,Post_TPEother,ave_ac,Pre_rstc,Post_rstc,reg_cpn,law_manu,Self_cpn,3rdpt,litcamp,Self_edu,Not_much,Pol_party,age,is_political,Pre_eff_ave,Post_eff_ave,edu
R_1dNvpBCze7DYKkI,62,66,3,3,4,3,0.7,2,2,4,2,3,1,5,7,6,dem,35.0,1,4.333333333333333,5.0,5.0
R_2uhQSqXLENjS8ut,18,50,1,2,1,3,0.6,4,4,5,3,1,2,6,7,4,dem,29.0,1,5.666666666666667,5.0,5.0
R_2QMxsO4zdf957Km,21,15,4,4,4,3,0.6,3,2,5,3,2,1,7,4,6,rep,28.0,1,5.333333333333333,5.333333333333333,5.0
R_3iUvraNaj6qh7VV,5,20,1,2,1,3,0.75,5,5,2,1,5,3,4,6,7,dem,23.0,1,4.0,1.0,4.0
R_2PuT6ED9H0oEbWM,31,68,1,4,3,5,0.75,5,5,5,6,1,3,4,2,7,ind,25.0,1,4.666666666666667,6.333333333333333,6.0
R_3fpMkBksvdMgpfp,57,60,4,5,4,4,0.55,2,4,2,1,7,4,3,5,6,dem,27.0,1,6.0,4.666666666666667,5.0
R_YSwp9xRneDO8ErT,61,63,3,3,3,4,0.5,3,3,1,2,6,4,5,3,7,dem,31.0,1,4.0,4.333333333333333,5.0
R_31ax76OOzVD1YR2,40,50,1,4,1,5,0.85,5,5,5,1,6,4,3,2,7,ind,30.0,1,5.333333333333333,6.0,5.0
R_1GH3hNUum7qUNbA,10,11,2,2,2,2,0.7,4,3,1,2,7,4,5,6,3,rep,45.0,1,3.3333333333333335,4.0,5.0
R_3KB1GeOmpO2ku7d,19,19,1,2,2,2,0.75,5,5,1,2,4,3,5,6,7,ind,29.0,1,5.0,6.0,3.0
R_1mLfr5CaRQePu2d,10,10,1,2,3,2,0.75,5,5,4,6,7,2,3,5,1,rep,66.0,1,5.0,5.0,6.0
R_1jl9MOILGPIUO9x,9,5,1,2,1,2,0.65,3,3,1,3,2,5,6,7,4,ind,33.0,1,6.0,6.0,6.0
R_12lNhTS9mXzLEGf,40,40,2,3,3,3,0.75,4,4,1,2,5,6,7,4,3,dem,33.0,1,5.0,5.0,5.0
R_3oLb1eSL5WzBDRw,20,50,2,3,2,3,0.75,3,3,7,4,3,5,1,2,6,ind,32.0,1,5.0,5.0,2.0
R_3RkcAwy6VYWiOR7,49,44,2,3,2,3,0.6,5,5,2,1,5,3,4,6,7,rep,49.0,1,3.6666666666666665,4.666666666666667,5.0
R_1gdNg2jiwDIvwhw,23,30,2,3,3,3,0.7,4,4,3,4,2,5,6,1,7,rep,42.0,1,3.6666666666666665,3.3333333333333335,5.0
R_3J3LrSboVedvzyQ,58,59,3,3,3,3,0.6,4,4,1,2,3,4,5,6,7,rep,30.0,1,4.666666666666667,5.333333333333333,5.0
R_210nncEbuo5ZkOk,42,41,2,3,2,3,0.7,5,5,2,3,6,1,4,5,7,dem,21.0,1,5.0,6.0,5.0
R_XtAf5Ltu1PY58MF,27,11,1,2,2,2,0.7,3,3,6,7,5,4,3,2,1,rep,45.0,1,6.0,6.0,3.0
R_2qD86h0VxvosF0M,28,17,2,3,3,2,0.8,2,2,6,7,3,5,2,1,4,rep,30.0,1,5.333333333333333,3.3333333333333335,5.0
R_xFnhEmnSbi3MCrf,10,25,1,2,1,2,0.8,4,5,4,1,3,2,5,6,7,dem,34.0,1,3.3333333333333335,4.0,5.0
R_3lyLEqJdiJ6S6YE,30,30,1,3,1,4,0.85,3,3,4,3,1,6,2,5,7,dem,21.0,1,6.0,6.0,3.0
R_23dU3KkTjOzk0uJ,20,50,1,2,1,3,0.85,4,5,1,7,2,5,4,3,6,dem,29.0,1,5.666666666666667,6.333333333333333,5.0
R_3r1kVgqn8bnHak3,21,40,2,3,2,3,0.85,4,4,5,3,6,7,4,1,2,ind,41.0,1,4.0,3.0,5.0
R_2amh3ke0zNXG7fi,2,29,2,4,3,4,0.75,4,4,4,3,2,6,7,1,5,rep,29.0,1,5.0,4.666666666666667,5.0
R_3syMBPvCFZzd4d8,20,15,2,3,2,3,0.8,4,4,2,1,6,3,4,5,7,dem,46.0,1,5.0,5.0,5.0
R_1gFKF8Wt9mdeDJM,36,35,1,2,1,2,0.85,5,5,4,1,5,6,3,2,7,ind,29.0,1,5.666666666666667,6.0,3.0
R_1ina0I82DytymfO,5,10,1,2,2,3,0.65,4,4,3,1,2,4,5,6,7,rep,27.0,1,4.0,5.0,5.0
R_2asFNQ1QXqaQEEN,51,26,3,3,3,3,0.35,4,3,1,2,3,5,4,6,7,rep,28.0,1,5.333333333333333,4.333333333333333,4.0
R_1Eg7X3iYNp2nq4h,60,60,2,4,1,3,0.8,4,4,1,3,4,7,5,2,6,dem,30.0,1,4.666666666666667,4.333333333333333,3.0
R_25LrjQQGlZofvth,20,30,1,3,2,3,0.85,5,5,4,7,3,6,5,2,1,dem,22.0,1,7.0,5.0,4.0
R_3dX1fQsM6dGkNEF,30,40,1,5,1,5,0.7,5,5,1,3,2,5,4,6,7,rep,40.0,1,1.0,7.0,6.0
R_uzjjW0TdcwpYpnX,40,28,3,4,3,4,0.5,2,3,7,6,4,5,3,2,1,dem,29.0,1,5.0,4.666666666666667,2.0
